"","SqlTrace"
"13512","declare @p1 int
set @p1=180153135
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=2
exec sp_cursoropen @p1 output,N' SELECT DISTINCT Task_Code, Task_Description FROM SV00560, SV00310  WHERE ITEMTYPE= 1 AND RTRIM(SV00310.Type_of_Problem) = RTRIM(SV00560.Equipment_Type)  AND RTRIM(SV00310.Type_of_Problem) = ''SOUMISSION CHAUFFAGE''  AND (RTRIM(SV00560.Sub_3) = ''ELECTRICITE'' OR RTRIM(SV00560.Sub_3) = '''') AND RTRIM(SV00560.Skill_Level) <> ''LOGEMENTS''  AND RTRIM(SV00560.Task_User_Define1) <> ''LOGEMENTS''  AND RTRIM(SV00560.Task_User_Define2) <> ''LOGEMENTS''  AND RTRIM(SV00560.Task_User_Define3) <> ''LOGEMENTS''  AND RTRIM(SV00560.Task_User_Define4) <> ''LOGEMENTS''  OR Task_Code  = ''CV003'' ORDER BY Task_Description ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13513","exec sp_cursorclose 180153131"
"13514","exec sp_cursorfetch 180153135,16,1,1"
"13515","exec sp_cursorfetch 180153135,16,2,1"
"13516","exec sp_cursorfetch 180153135,16,3,1"
"13517","declare @p1 int
set @p1=180153137
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=5
exec sp_cursoropen @p1 output,N' select * from GMP_TYPE_PHONE  ORDER BY Type_Phone_ID ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13518","exec sp_cursorclose 180153135"
"13519","exec sp_cursorfetch 180153137,16,1,1"
"13520","exec sp_cursorfetch 180153137,16,2,1"
"13521","exec sp_cursorfetch 180153137,16,3,1"
"13522","exec sp_cursorfetch 180153137,16,4,1"
"13523","exec sp_cursorfetch 180153137,16,5,1"
"13524","exec sp_cursorfetch 180153137,16,6,1"
"13525","declare @p1 int
set @p1=180153139
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select PHONE1,PHONE2,Tele_Cellulaire from HS_Client where HS_Client.CUSTNMBR = ''CL00546740''  and HS_Client.ADRSCODE = ''SERVICE'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13526","exec sp_cursorclose 180153137"
"13527","declare @p1 int
set @p1=180153141
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=5
exec sp_cursoropen @p1 output,N' select * from GMP_TYPE_PHONE  ORDER BY Type_Phone_ID ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13528","exec sp_cursorclose 180153139"
"13529","exec sp_cursorfetch 180153141,16,1,1"
"13530","exec sp_cursorfetch 180153141,16,2,1"
"13531","exec sp_cursorfetch 180153141,16,3,1"
"13532","exec sp_cursorfetch 180153141,16,4,1"
"13533","exec sp_cursorfetch 180153141,16,5,1"
"13534","exec sp_cursorfetch 180153141,16,6,1"
"13535","declare @p1 int
set @p1=180153143
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select PHONE1,PHONE2,Tele_Cellulaire from HS_Client where HS_Client.CUSTNMBR = ''CL00546740''  and HS_Client.ADRSCODE = ''SERVICE'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13536","exec sp_cursorclose 180153141"
"13537","declare @p1 int
set @p1=180153145
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT WSReserved_CB3 FROM SV00310 WHERE RTRIM(Type_of_Problem) = ''SOUMISSION CHAUFFAGE'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13538","exec sp_cursorfetch 180153145,16,1,1"
"13539","exec sp_cursorclose 180153145"
"13540","declare @p1 int
set @p1=180153147
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT GMP_CONTRACTEQUIP.Contract_Number FROM GMP_CONTRACTEQUIP LEFT JOIN HS_Produit  ON GMP_CONTRACTEQUIP.CUSTNMBR = HS_Produit.CUSTNMBR  AND GMP_CONTRACTEQUIP.ADRSCODE = HS_Produit.ADRSCODE  AND GMP_CONTRACTEQUIP.Contract_Number = HS_Produit.Contract_Number  WHERE GMP_CONTRACTEQUIP.CUSTNMBR = ''CL00546740'' AND GMP_CONTRACTEQUIP.ADRSCODE = ''SERVICE'' AND GMP_CONTRACTEQUIP.Starting_Date < CONVERT(DATETIME,''2016-11-10'')  AND GMP_CONTRACTEQUIP.Ending_Date > CONVERT(DATETIME,''2016-11-10'')  AND HS_Produit.Service_User_Define_18 = ''1''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13541","exec sp_cursorfetch 180153147,16,1,1"
"13542","exec sp_cursorclose 180153147"
"13543","declare @p1 int
set @p1=180153149
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT User_Define_1a FROM SV00105  WHERE User_Define_1a_ID = ''3'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13544","exec sp_cursorfetch 180153149,16,1,1"
"13545","exec sp_cursorclose 180153149"
"13546","declare @p1 int
set @p1=180153151
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT GMP_CONTRACTEQUIP.Contract_Number FROM GMP_CONTRACTEQUIP LEFT JOIN HS_Produit  ON GMP_CONTRACTEQUIP.CUSTNMBR = HS_Produit.CUSTNMBR  AND GMP_CONTRACTEQUIP.ADRSCODE = HS_Produit.ADRSCODE  AND GMP_CONTRACTEQUIP.Contract_Number = HS_Produit.Contract_Number  WHERE GMP_CONTRACTEQUIP.CUSTNMBR = ''CL00546740'' AND GMP_CONTRACTEQUIP.ADRSCODE = ''SERVICE'' AND GMP_CONTRACTEQUIP.Starting_Date < CONVERT(DATETIME,''2016-11-10'')  AND GMP_CONTRACTEQUIP.Ending_Date > CONVERT(DATETIME,''2016-11-10'')  AND HS_Produit.Service_User_Define_18 = ''1''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13547","exec sp_cursorfetch 180153151,16,1,1"
"13548","exec sp_cursorclose 180153151"
"13549","declare @p1 int
set @p1=180153153
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT User_Define_1a FROM SV00105  WHERE User_Define_1a_ID = ''3'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13550","exec sp_cursorfetch 180153153,16,1,1"
"13551","exec sp_cursorclose 180153153"
"13552","declare @p1 int
set @p1=180153155
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT USERID FROM SV00105  WHERE User_Define_1a_ID = ''3'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13553","exec sp_cursorfetch 180153155,16,1,1"
"13554","exec sp_cursorclose 180153155"
"13555","declare @p1 int
set @p1=180153157
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=5
exec sp_cursoropen @p1 output,N' SELECT DISTINCT User_Define_1a, USERID FROM SV00330  WHERE USERID >= ''3''  OR User_Define_1a = ''JOURNEE ENTIERE''  ORDER BY USERID ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13556","exec sp_cursorclose 180153143"
"13557","exec sp_cursorfetch 180153157,16,1,1"
"13558","exec sp_cursorfetch 180153157,16,2,1"
"13559","exec sp_cursorfetch 180153157,16,3,1"
"13560","exec sp_cursorfetch 180153157,16,4,1"
"13561","exec sp_cursorfetch 180153157,16,5,1"
"13562","exec sp_cursorfetch 180153157,16,6,1"
"13563","declare @p1 int
set @p1=180153159
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13564","exec sp_cursorfetch 180153159,16,1,1"
"13565","exec sp_cursorclose 180153159"
"13566","declare @p1 int
set @p1=180153161
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''27'' AND USER_CLASS=''RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13567","exec sp_cursorfetch 180153161,16,1,1"
"13568","exec sp_cursorclose 180153161"
"13569","declare @p1 int
set @p1=180153163
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13570","exec sp_cursorfetch 180153163,16,1,1"
"13571","exec sp_cursorclose 180153163"
"13572","declare @p1 int
set @p1=180153165
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''28'' AND USER_CLASS=''RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13573","exec sp_cursorfetch 180153165,16,1,1"
"13574","exec sp_cursorclose 180153165"
"13575","declare @p1 int
set @p1=180153167
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13576","exec sp_cursorfetch 180153167,16,1,1"
"13577","exec sp_cursorclose 180153167"
"13578","declare @p1 int
set @p1=180153169
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''29'' AND USER_CLASS=''RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13579","exec sp_cursorfetch 180153169,16,1,1"
"13580","exec sp_cursorclose 180153169"
"13581","declare @p1 int
set @p1=180153171
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=61
exec sp_cursoropen @p1 output,N' SELECT rtrim(SV00310.Type_of_Problem) AS Type_of_Problem FROM SV00310  LEFT JOIN GMP_SV00310  ON SV00310.Type_of_Problem = GMP_SV00310.Type_of_Problem  WHERE( (1 = 1  AND IsHS = 1  AND (1 = 0  OR DroitsR = 1  ) ) OR SV00310.Type_of_Problem = ''SOUMISSION CHAUFFAGE'')  ORDER BY 1 ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13582","exec sp_cursorclose 180153157"
"13583","exec sp_cursorfetch 180153171,16,1,1"
"13584","exec sp_cursorfetch 180153171,16,2,1"
"13585","exec sp_cursorfetch 180153171,16,3,1"
"13586","exec sp_cursorfetch 180153171,16,4,1"
"13587","exec sp_cursorfetch 180153171,16,5,1"
"13588","exec sp_cursorfetch 180153171,16,6,1"
"13589","exec sp_cursorfetch 180153171,16,7,1"
"13590","exec sp_cursorfetch 180153171,16,8,1"
"13591","exec sp_cursorfetch 180153171,16,9,1"
"13592","exec sp_cursorfetch 180153171,16,10,1"
"13593","exec sp_cursorfetch 180153171,16,11,1"
"13594","exec sp_cursorfetch 180153171,16,12,1"
"13595","exec sp_cursorfetch 180153171,16,13,1"
"13596","exec sp_cursorfetch 180153171,16,14,1"
"13597","exec sp_cursorfetch 180153171,16,15,1"
"13598","exec sp_cursorfetch 180153171,16,16,1"
"13599","exec sp_cursorfetch 180153171,16,17,1"
"13600","exec sp_cursorfetch 180153171,16,18,1"
"13601","exec sp_cursorfetch 180153171,16,19,1"
"13602","exec sp_cursorfetch 180153171,16,20,1"
"13603","exec sp_cursorfetch 180153171,16,21,1"
"13604","exec sp_cursorfetch 180153171,16,22,1"
"13605","exec sp_cursorfetch 180153171,16,23,1"
"13606","exec sp_cursorfetch 180153171,16,24,1"
"13607","exec sp_cursorfetch 180153171,16,25,1"
"13608","exec sp_cursorfetch 180153171,16,26,1"
"13609","exec sp_cursorfetch 180153171,16,27,1"
"13610","exec sp_cursorfetch 180153171,16,28,1"
"13611","exec sp_cursorfetch 180153171,16,29,1"
"13612","exec sp_cursorfetch 180153171,16,30,1"
"13613","exec sp_cursorfetch 180153171,16,31,1"
"13614","exec sp_cursorfetch 180153171,16,32,1"
"13615","exec sp_cursorfetch 180153171,16,33,1"
"13616","exec sp_cursorfetch 180153171,16,34,1"
"13617","exec sp_cursorfetch 180153171,16,35,1"
"13618","exec sp_cursorfetch 180153171,16,36,1"
"13619","exec sp_cursorfetch 180153171,16,37,1"
"13620","exec sp_cursorfetch 180153171,16,38,1"
"13621","exec sp_cursorfetch 180153171,16,39,1"
"13622","exec sp_cursorfetch 180153171,16,40,1"
"13623","exec sp_cursorfetch 180153171,16,41,1"
"13624","exec sp_cursorfetch 180153171,16,42,1"
"13625","exec sp_cursorfetch 180153171,16,43,1"
"13626","exec sp_cursorfetch 180153171,16,44,1"
"13627","exec sp_cursorfetch 180153171,16,45,1"
"13628","exec sp_cursorfetch 180153171,16,46,1"
"13629","exec sp_cursorfetch 180153171,16,47,1"
"13630","exec sp_cursorfetch 180153171,16,48,1"
"13631","exec sp_cursorfetch 180153171,16,49,1"
"13632","exec sp_cursorfetch 180153171,16,50,1"
"13633","exec sp_cursorfetch 180153171,16,51,1"
"13634","exec sp_cursorfetch 180153171,16,52,1"
"13635","exec sp_cursorfetch 180153171,16,53,1"
"13636","exec sp_cursorfetch 180153171,16,54,1"
"13637","exec sp_cursorfetch 180153171,16,55,1"
"13638","exec sp_cursorfetch 180153171,16,56,1"
"13639","exec sp_cursorfetch 180153171,16,57,1"
"13640","exec sp_cursorfetch 180153171,16,58,1"
"13641","exec sp_cursorfetch 180153171,16,59,1"
"13642","exec sp_cursorfetch 180153171,16,60,1"
"13643","exec sp_cursorfetch 180153171,16,61,1"
"13644","exec sp_cursorfetch 180153171,16,62,1"
"13645","declare @p1 int
set @p1=180153173
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select Security_Group from GMP_USAGERS where UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13646","exec sp_cursorfetch 180153173,16,1,1"
"13647","exec sp_cursorclose 180153173"
"13648","declare @p1 int
set @p1=180153175
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT Description, OnlyInList FROM HS_DescriptionCourte WHERE Type_Of_Problem= ''SOUMISSION CHAUFFAGE'' ORDER BY SortOrder',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13649","exec sp_cursorfetch 180153175,16,1,1"
"13650","exec sp_cursorclose 180153175"
"13651","declare @p1 int
set @p1=180153177
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT FName + '' '' + LName FROM GMP_USAGERS WHERE UsagerID = ''ED50617RSC'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13652","exec sp_cursorfetch 180153177,16,1,1"
"13653","exec sp_cursorclose 180153177"
"13654","declare @p1 int
set @p1=180153179
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT FName + '' '' + LName FROM GMP_USAGERS WHERE UsagerID = ''ED50617RSC'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13655","exec sp_cursorfetch 180153179,16,1,1"
"13656","exec sp_cursorclose 180153179"
"13657","declare @p1 int
set @p1=180153181
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT HS_Tache.Task_Description FROM HS_Appel, HS_Tache WHERE ( HS_Appel.SuiviClient =''1'' OR HS_Appel.EntretienPlanifie =''1'') AND HS_Tache.Service_Call_ID = HS_Appel.Service_Call_ID AND (substring(HS_Tache.Task_Code,1,1) = ''A'' OR substring(HS_Tache.Task_Code,1,1) = ''Z'') AND HS_Tache.Task_Status <> ''COMPLETE'' AND HS_Tache.Service_Call_ID = ''161021-0001'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13658","exec sp_cursorfetch 180153181,16,1,1"
"13659","exec sp_cursorclose 180153181"
"13660","declare @p1 int
set @p1=180153183
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT VendorIDRestriction  FROM gmp_sv00310  WHERE Type_of_Problem =''SOUMISSION CHAUFFAGE''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13661","exec sp_cursorfetch 180153183,16,1,1"
"13662","exec sp_cursorclose 180153183"
"13663","declare @p1 int
set @p1=180153185
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT COUNT(*) FROM HS_Client c     INNER JOIN gmp_Postal p on p.Postal = LEFT(replace(c.ZIP, '' '', ''''), (select max(LEN(Postal)) from GMP_POSTAL Where Postal = LEFT(replace(c.ZIP, '' '', ''''), LEN(p.Postal))))         AND p.SiCVAC= 1 WHERE c.CustNmbr= ''CL00546740''     AND c.AdrsCode= ''SERVICE''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13664","exec sp_cursorfetch 180153185,16,1,1"
"13665","exec sp_cursorclose 180153185"
"13666","declare @p1 int
set @p1=180153187
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select CGE_DESCRIPTION from GMP_BATIMENT   where PRO_CAT_BAT=''2D''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13667","exec sp_cursorfetch 180153187,16,1,1"
"13668","exec sp_cursorclose 180153187"
"13669","declare @p1 int
set @p1=180153189
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT GMP_CONTRACTEQUIP.Contract_Number FROM GMP_CONTRACTEQUIP LEFT JOIN HS_Produit  ON GMP_CONTRACTEQUIP.CUSTNMBR = HS_Produit.CUSTNMBR  AND GMP_CONTRACTEQUIP.ADRSCODE = HS_Produit.ADRSCODE  AND GMP_CONTRACTEQUIP.Contract_Number = HS_Produit.Contract_Number  WHERE GMP_CONTRACTEQUIP.CUSTNMBR = ''CL00546740'' AND GMP_CONTRACTEQUIP.ADRSCODE = ''SERVICE'' AND GMP_CONTRACTEQUIP.Starting_Date < CONVERT(DATETIME,''2016-11-10'')  AND GMP_CONTRACTEQUIP.Ending_Date > CONVERT(DATETIME,''2016-11-10'')  AND HS_Produit.Service_User_Define_18 = ''1''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13670","exec sp_cursorfetch 180153189,16,1,1"
"13671","exec sp_cursorclose 180153189"
"13672","declare @p1 int
set @p1=180153191
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT User_Define_1a FROM SV00105  WHERE User_Define_1a_ID = ''3'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13673","exec sp_cursorfetch 180153191,16,1,1"
"13674","exec sp_cursorclose 180153191"
"13675","declare @p1 int
set @p1=180153193
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT distinct Zone FROM GMP_POSTAL WHERE Postal = LEFT(''H4H2A8'', (select max(LEN(Postal)) from GMP_POSTAL Where Postal = LEFT(''H4H2A8'', LEN(Postal))))',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13676","exec sp_cursorfetch 180153193,16,1,1"
"13677","exec sp_cursorclose 180153193"
"13678","declare @p1 int
set @p1=180153195
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT NOM_VILLE from GMP_VILLE  where ID_VILLE = ''127''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13679","exec sp_cursorfetch 180153195,16,1,1"
"13680","exec sp_cursorclose 180153195"
"13681","declare @p1 int
set @p1=180153197
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT WSReserved_CB2 FROM SV00310 WHERE Type_of_Problem = ''SOUMISSION CHAUFFAGE'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13682","exec sp_cursorfetch 180153197,16,1,1"
"13683","exec sp_cursorclose 180153197"
"13684","declare @p1 int
set @p1=180153199
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13685","exec sp_cursorfetch 180153199,16,1,1"
"13686","exec sp_cursorclose 180153199"
"13687","declare @p1 int
set @p1=180153201
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''30'' AND USER_CLASS=''RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13688","exec sp_cursorfetch 180153201,16,1,1"
"13689","exec sp_cursorclose 180153201"
"13690","declare @p1 int
set @p1=180153203
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select Security_Group from GMP_USAGERS where UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13691","exec sp_cursorfetch 180153203,16,1,1"
